Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-19,000660,SK Hynix,KR_STOCK,FinanceDataReader,905000.0,913000.0,888000.0,894000.0,3285109,
2026-02-19,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,188000.0,190900.0,187100.0,190000.0,27049388,
2026-02-19,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,207000.0,207500.0,200000.0,201500.0,817087,
2026-02-19,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1122.2,1163.66,1111.28,1160.71,1351784869,
2026-02-19,KRW=X,USD/KRW,FX,yfinance,1449.9000244140625,1452.1500244140625,1443.1199951171875,1440.1600341796875,0,
2026-02-19,KS11,KOSPI,KR_INDEX,FinanceDataReader,5642.09,5681.65,5614.97,5677.25,1185838197,
2026-02-19,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,408.7099914550781,411.0,405.55999755859375,410.20001220703125,4056400,
2026-02-19,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,354.17999267578125,356.32000732421875,351.7699890136719,355.8399963378906,5576400,
2026-02-19,^GSPC,S&P 500,US_INDEX,yfinance,6861.33984375,6879.1201171875,6833.06005859375,6861.89013671875,5151690000,
2026-02-19,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22639.880859375,22768.830078125,22583.609375,22682.73046875,6984780000,
2026-02-20,000660,SK Hynix,KR_STOCK,FinanceDataReader,892000.0,955000.0,881000.0,949000.0,5054333,
2026-02-20,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,190000.0,190300.0,188600.0,190100.0,24213880,
2026-02-20,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,200500.0,202000.0,197300.0,200500.0,836127,
2026-02-20,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1161.4,1162.62,1147.72,1154.0,1331918368,
2026-02-20,KRW=X,USD/KRW,FX,yfinance,1449.199951171875,1450.7099609375,1441.7900390625,1447.75,0,
2026-02-20,KS11,KOSPI,KR_INDEX,FinanceDataReader,5696.89,5809.91,5684.58,5808.53,1749302679,
2026-02-20,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,407.6600036621094,416.8299865722656,407.17999267578125,415.0299987792969,5715800,
2026-02-20,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,353.5899963378906,361.3299865722656,352.79998779296875,359.42999267578125,6013600,
2026-02-20,^GSPC,S&P 500,US_INDEX,yfinance,6843.259765625,6915.85986328125,6836.330078125,6909.509765625,5432480000,
2026-02-20,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22542.279296875,22948.869140625,22539.05078125,22886.0703125,8063070000,
2026-02-23,000660,SK Hynix,KR_STOCK,FinanceDataReader,980000.0,980000.0,941000.0,951000.0,3523887,
2026-02-23,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,194400.0,197600.0,190500.0,193000.0,26364684,
2026-02-23,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,201500.0,208500.0,200500.0,204000.0,939820,
2026-02-23,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1166.94,1174.66,1143.38,1151.99,1433817308,
2026-02-23,KRW=X,USD/KRW,FX,yfinance,1439.949951171875,1445.25,1438.3699951171875,1443.43994140625,0,
2026-02-23,KS11,KOSPI,KR_INDEX,FinanceDataReader,5903.11,5931.86,5792.57,5846.09,1477788942,
2026-02-23,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,413.57000732421875,417.70001220703125,409.2799987792969,412.8800048828125,5842800,
2026-02-23,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,357.57000732421875,360.3800048828125,352.8500061035156,356.82000732421875,6339800,
2026-02-23,^GSPC,S&P 500,US_INDEX,yfinance,6901.25,6916.9599609375,6819.81982421875,6837.75,5638350000,
2026-02-23,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22840.970703125,22893.220703125,22547.119140625,22627.26953125,8263920000,
2026-02-24,000660,SK Hynix,KR_STOCK,FinanceDataReader,952000.0,1005000.0,946000.0,1005000.0,4102382,
2026-02-24,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,193000.0,200000.0,192000.0,200000.0,28060617,
2026-02-24,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,203500.0,214000.0,196800.0,210000.0,1645860,
2026-02-24,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1159.76,1165.32,1146.22,1165.0,1335411719,
2026-02-24,KRW=X,USD/KRW,FX,yfinance,1443.5999755859375,1446.8599853515625,1437.9200439453125,1442.199951171875,0,
2026-02-24,KS11,KOSPI,KR_INDEX,FinanceDataReader,5853.48,5969.64,5775.61,5969.64,1602004836,
2026-02-24,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,417.2200012207031,421.6700134277344,411.6700134277344,419.1600036621094,7828900,
2026-02-24,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,361.6000061035156,364.739990234375,358.0400085449219,362.0400085449219,6206000,
2026-02-24,^GSPC,S&P 500,US_INDEX,yfinance,6837.3701171875,6899.169921875,6815.43017578125,6890.06982421875,5266090000,
2026-02-24,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22641.599609375,22895.48046875,22528.259765625,22863.6796875,7932270000,
2026-02-25,000660,SK Hynix,KR_STOCK,FinanceDataReader,1012000.0,1038000.0,1004000.0,1018000.0,3462525,
2026-02-25,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,202500.0,206000.0,201000.0,203500.0,26987996,
2026-02-25,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,210500.0,215500.0,208000.0,214500.0,1064978,
2026-02-25,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1174.27,1174.27,1158.18,1165.25,1512980951,
2026-02-25,KRW=X,USD/KRW,FX,yfinance,1440.800048828125,1440.8699951171875,1424.0699462890625,1439.989990234375,0,
2026-02-25,KS11,KOSPI,KR_INDEX,FinanceDataReader,6022.7,6144.71,5984.28,6083.86,1415254864,
